,Search Term,animal welfare
777,2018-11-24,45.604690760965326
778,2018-12-01,46.87148772654769
779,2018-12-08,48.77168317492125
780,2018-12-15,39.27070593305347
781,2018-12-22,31.036525656768067
782,2018-12-29,36.73711200188873
783,2019-01-05,42.4376983470094
784,2019-01-12,40.53750289863584
785,2019-01-19,39.90410441584466
786,2019-01-26,46.87148772654769
787,2019-02-02,44.33789379538295
788,2019-02-09,46.238089243756505
789,2019-02-16,41.80429986421821
790,2019-02-23,43.704495312591774
791,2019-03-02,46.238089243756505
792,2019-03-09,43.07109682980059
793,2019-03-16,41.80429986421821
794,2019-03-23,38.637307450262284
795,2019-03-30,41.80429986421821
796,2019-04-06,39.90410441584466
797,2019-04-13,38.637307450262284
798,2019-04-20,43.704495312591774
799,2019-04-27,44.33789379538295
800,2019-05-04,41.170901381427036
801,2019-05-11,48.138284692130064
802,2019-05-18,38.0039089674711
803,2019-05-25,38.0039089674711
804,2019-06-01,43.704495312591774
805,2019-06-08,42.4376983470094
806,2019-06-15,43.704495312591774
807,2019-06-22,38.637307450262284
808,2019-06-29,33.57011958793281
809,2019-07-06,43.704495312591774
810,2019-07-13,50.03848014050363
811,2019-07-20,42.4376983470094
812,2019-07-27,39.90410441584466
813,2019-08-03,36.103713519097546
814,2019-08-10,44.97129227817414
815,2019-08-17,43.704495312591774
816,2019-08-24,41.80429986421821
817,2019-08-31,34.203518070723995
818,2019-09-07,38.637307450262284
819,2019-09-14,39.90410441584466
820,2019-09-21,41.170901381427036
821,2019-09-28,41.170901381427036
822,2019-10-05,41.170901381427036
823,2019-10-12,36.73711200188873
824,2019-10-19,39.90410441584466
825,2019-10-26,37.37051048467991
826,2019-11-02,41.80429986421821
827,2019-11-09,34.83691655351518
828,2019-11-16,34.83691655351518
829,2019-11-23,29.769728691185698
830,2019-11-30,37.37051048467991
831,2019-12-07,34.203518070723995
832,2019-12-14,33.57011958793281
833,2019-12-21,24.70254082885622
834,2019-12-28,25.96933779443859
835,2020-01-04,38.637307450262284
836,2020-01-11,39.90410441584466
837,2020-01-18,31.036525656768067
838,2020-01-25,38.42617462266522
839,2020-02-01,38.925215851531
840,2020-02-08,38.42617462266522
841,2020-02-15,36.929050936067874
842,2020-02-22,39.92329830926257
843,2020-02-29,37.92713339379944
844,2020-03-07,33.4357623340074
845,2020-03-14,28.44535004534958
846,2020-03-21,30.940556189678492
847,2020-03-28,29.94247373194693
848,2020-04-04,29.443432503081148
849,2020-04-11,29.443432503081148
850,2020-04-18,28.44535004534958
851,2020-04-25,28.944391274215363
852,2020-05-02,30.940556189678492
853,2020-05-09,30.940556189678492
854,2020-05-16,33.934803562873185
855,2020-05-23,30.940556189678492
856,2020-05-30,31.938638647410055
857,2020-06-06,31.938638647410055
858,2020-06-13,33.934803562873185
859,2020-06-20,31.938638647410055
860,2020-06-27,33.934803562873185
861,2020-07-04,31.439597418544274
