ds,Time,Month,taylor_swift,taylor_swift_lyrics,taylor_swift_album,taylor_swift_songs,taylor_swift_tour,speak_now,ts_1989,red,reputation,lover,drake,drake_lyrics,drake_album,drake_songs,drake_tour,views,scorpion,nwts,tml,take_care,all_ts_albums,all_drake_albums
2010-11-30,83,12,26.0,5.85,0.6500000000000001,1.1700000000000002,0.56,11.423076923076923,0.2857142857142857,0.45,0.0,0.4337349397590362,28.184210526315788,7.213815789473684,0.39256578947368426,0.9730263157894737,0.09394736842105264,0.0,0.0,0.0,2.16,0.0,12.592526148550245,2.16
2010-12-31,84,1,23.0,5.22,0.4000000000000001,1.05,0.56,10.384615384615385,0.2857142857142857,0.45,0.0,0.4337349397590362,26.842105263157894,6.542763157894736,0.39256578947368426,1.0233552631578948,0.14092105263157895,0.0,0.0,0.0,1.44,0.0,11.554064610088707,1.44
2011-01-31,85,2,18.0,3.69,0.25000000000000006,0.93,0.56,6.576923076923077,0.2857142857142857,0.45,0.0,0.4337349397590362,24.157894736842103,5.368421052631579,0.3271381578947369,0.8723684210526316,0.14092105263157895,0.0,0.0,0.0,1.08,1.0,7.746372302396399,2.08
2011-02-28,86,3,13.0,2.6999999999999997,0.20000000000000004,0.78,0.28,4.153846153846153,0.2857142857142857,0.45,0.0,0.2168674698795181,18.789473684210527,4.194078947368421,0.2617105263157895,0.7213815789473684,0.09394736842105264,0.0,0.0,0.0,1.08,1.0,5.106427909439957,2.08
2011-03-31,87,4,14.0,2.79,0.20000000000000004,0.9,0.35000000000000003,4.153846153846153,0.2857142857142857,0.45,0.0,0.2168674698795181,18.11842105263158,3.3552631578947367,0.2617105263157895,0.6039473684210527,0.11743421052631581,0.0,0.0,0.0,1.08,1.0,5.106427909439957,2.08
2011-04-30,88,5,15.0,3.06,0.20000000000000004,0.93,0.35000000000000003,4.5,0.2857142857142857,0.45,0.0,0.4337349397590362,20.13157894736842,4.026315789473684,0.2617105263157895,0.7717105263157895,0.07046052631578947,0.0,0.0,0.0,1.08,1.0,5.669449225473322,2.08
2011-05-31,89,6,16.0,3.2399999999999998,0.20000000000000004,0.9600000000000001,0.56,5.538461538461538,0.2857142857142857,0.45,0.0,0.2168674698795181,28.855263157894736,6.7105263157894735,0.523421052631579,1.1911184210526315,0.11743421052631581,0.0,0.0,0.0,1.08,4.0,6.491043294055342,5.08
2011-06-30,90,7,14.0,2.61,0.20000000000000004,0.78,0.42000000000000004,5.1923076923076925,0.2857142857142857,0.45,0.0,0.2168674698795181,25.5,5.871710526315789,0.45799342105263163,0.905921052631579,0.16440789473684211,0.0,0.0,0.0,1.08,2.0,6.144889447901496,3.08
2011-07-31,91,8,18.0,2.52,0.20000000000000004,0.7500000000000001,0.49000000000000005,5.1923076923076925,0.2857142857142857,3.6,0.0,0.4337349397590362,30.86842105263158,7.381578947368421,0.6542763157894738,1.0401315789473684,0.16440789473684211,0.0,0.0,0.0,1.08,3.0,9.511756917781014,4.08
2011-08-31,92,9,13.0,2.25,0.15000000000000002,0.6900000000000001,0.35000000000000003,4.153846153846153,0.2857142857142857,1.8,0.0,0.2168674698795181,26.842105263157894,6.542763157894736,0.7197039473684211,0.9394736842105263,0.16440789473684211,0.0,0.0,0.0,1.08,5.0,6.456427909439957,6.08
